year,title,metacritic_score
2014,Lucy,69.0
2014,The Fault in Our Stars,69.0
2014,Lone Survivor,60.0
2014,Mr. Peabody & Sherman,59.0
2013,Iron Man 3,
2013,The Hunger Games: Catching Fire,76.0
2013,Despicable Me 2,
2013,Frozen,75.0
2013,Man of Steel,55.0
2013,Monsters University,
2013,Gravity,96.0
2013,Fast and Furious 6,61.0
2013,Oz the Great and Powerful,44.0
2013,The Hobbit: The Desolation of Smaug,66.0
2013,Star Trek Into Darkness,72.0
2013,Thor: The Dark World,
2013,World War Z,
2013,The Croods,55.0
2013,The Heat,76.0
2013,Were the Millers,
2013,The Great Gatsby,55.0
2013,The Conjuring,68.0
2013,Identity Thief,35.0
2013,Grown Ups 2,
2013,The Wolverine,40.0
2013,G.I. Joe: Retaliation,41.0
2013,Now You See Me,50.0
2013,Cloudy with a Chance of Meatballs 2,
2013,Lee Daniels' The Butler,65.0
2012,The Avengers,68.0
2012,The Dark Knight Rises,78.0
2012,The Hunger Games,
2012,Skyfall,81.0
2012,The Twilight Saga: Breaking Dawn Part 2,
2012,The Hobbit: An Unexpected Journey,58.0
2012,The Amazing Spider-Man,53.0
2012,Brave,61.0
2012,Ted,70.0
2012,Madagascar 3: Europes Most Wanted,60.0
2012,Dr. Seuss' The Lorax,46.0
2012,Men in Black 3,
2012,Wreck-It Ralph,72.0
2012,Ice Age: Continental Drift,49.0
2012,Snow White and the Huntsman,57.0
2012,Hotel Transylvania,54.0
2012,Lincoln,
2012,Taken 2,
2012,21 Jump Street,69.0
2012,Prometheus,64.0
2012,Safe House,
2012,The Vow,43.0
2012,Magic Mike,
2012,The Bourne Legacy,61.0
2012,Argo,86.0
2011,Harry Potter and the Deathly Hallows: Part II,
2011,Transformers: Dark of the Moon,42.0
2011,The Twilight Saga: Breaking Dawn Part 1,
2011,The Hangover Part II,30.0
2011,Pirates of the Caribbean: On Stranger Tides,45.0
2011,Fast Five,
2011,Cars 2,
2011,Thor,75.0
2011,Rise of the Planet of the Apes,68.0
2011,Captain America: The First Avenger,66.0
2011,The Help,62.0
2011,Bridesmaids,75.0
2011,Kung Fu Panda 2,
2011,X-Men: First Class,65.0
2011,Puss in Boots,65.0
2011,Rio,63.0
2011,The Smurfs,40.0
2011,Mission: Impossible - Ghost Protocol,73.0
2011,Sherlock Holmes: A Game of Shadows,48.0
2011,Super 8,61.0
2011,Rango,75.0
2011,Horrible Bosses,57.0
2011,Green Lantern,39.0
2011,The Kings Speech,88.0
2011,Hop,84.0
2010,Toy Story 3,
2010,Avatar,83.0
2010,Alice in Wonderland,53.0
2010,Iron Man 2,
2010,The Twilight Saga: Eclipse,58.0
2010,Inception,74.0
2010,Harry Potter and the Deathly Hallows: Part I,85.0
2010,Despicable Me,49.0
2010,Shrek Forever After,58.0
2010,How to Train Your Dragon,75.0
2010,The Karate Kid,
2010,Tangled,71.0
2010,Clash of the Titans,39.0
2010,Grown Ups,19.0
2010,Megamind,63.0
2010,The Last Airbender,20.0
2010,Tron: Legacy,49.0
2010,Shutter Island,63.0
2010,The Other Guys,70.0
2010,Salt,65.0
2010,Jackass 3D,
2010,Valentines Day,17.0
2010,Robin Hood,32.0
2010,The Expendables,35.0
2010,Little Fockers,27.0
2009,Transformers: Revenge of the Fallen,35.0
2009,Avatar,83.0
2009,Harry Potter and the Half-Blood Prince,78.0
2009,Up,83.0
2009,The Twilight Saga: New Moon,44.0
2009,The Hangover,73.0
2009,Star Trek,64.0
2009,The Blind Side,53.0
2009,Monsters vs. Aliens,56.0
2009,Ice Age: Dawn of the Dinosaurs,50.0
2009,X-Men Origins: Wolverine,40.0
2009,Night at the Museum: Battle of the Smithsonian,
2009,The Proposal,48.0
2009,2012,49.0
2009,Alvin and the Chipmunks: The Squeakquel,41.0
2009,Fast & Furious,58.0
2009,G.I. Joe: The Rise of Cobra,32.0
2009,Paul Blart: Mall Cop,13.0
2009,Taken,51.0
2009,Sherlock Holmes,57.0
2009,Gran Torino,72.0
2009,Disneys A Christmas Carol,55.0
2009,Angels & Demons,48.0
2009,Terminator Salvation,49.0
2009,Cloudy with a Chance of Meatballs,66.0
2008,The Dark Knight,84.0
2008,Iron Man,79.0
2008,Indiana Jones and the Kingdom of the Crystal Skull,65.0
2008,Hancock,49.0
2008,WALL-E,
2008,Kung Fu Panda,74.0
2008,Madagascar: Escape 2 Africa,61.0
2008,Twilight,56.0
2008,Quantum of Solace,58.0
2008,Horton Hears a Who,71.0
2008,Sex and the City,
2008,Mamma Mia!,60.0
2008,The Chronicles of Narnia: Prince Caspian,62.0
2008,The Incredible Hulk,61.0
2008,Wanted,64.0
2008,Get Smart,54.0
2008,Four Christmases,41.0
2008,Juno,81.0
2008,Tropic Thunder,71.0
2008,Bolt,67.0
2008,Marley & Me,53.0
2008,The Mummy: Tomb of the Dragon Emperor,31.0
2008,Journey to the Center of the Earth,
2008,Eagle Eye,43.0
2008,Step Brothers,
2007,Spider-Man 3,
2007,Shrek the Third,58.0
2007,Transformers,27.0
2007,Pirates of the Caribbean: At Worlds End,50.0
2007,Harry Potter and the Order of the Phoenix,71.0
2007,The Bourne Ultimatum,85.0
2007,300,52.0
2007,Ratatouille,96.0
2007,I am Legend,
2007,The Simpsons Movie,
2007,National Treasure: Book of Secrets,48.0
2007,Wild Hogs,27.0
2007,Alvin and the Chipmunks,39.0
2007,Knocked Up,
2007,Rush Hour 3,
2007,Night at the Museum,48.0
2007,Live Free or Die Hard,69.0
2007,Fantastic Four: Rise of the Silver Surfer,45.0
2007,American Gangster,76.0
2007,Bee Movie,
2007,Superbad,76.0
2007,Enchanted,75.0
2007,I Now Pronounce You Chuck and Larry,37.0
2007,Hairspray,81.0
2007,Blades of Glory,64.0
2006,Pirates of the Caribbean: Dead Mans Chest,53.0
2006,Cars,
2006,X-Men: The Last Stand,58.0
2006,The Da Vinci Code,46.0
2006,Superman Returns,72.0
2006,Ice Age: The Meltdown,60.0
2006,Happy Feet,77.0
2006,Over the Hedge,67.0
2006,Casino Royale,80.0
2006,Talladega Nights: The Ballad of Ricky Bobby,66.0
2006,Click,45.0
2006,Mission: Impossible III,66.0
2006,Borat,89.0
2006,The Devil Wears Prada,62.0
2006,The Departed,85.0
2006,The Break-Up,
2006,Night at the Museum,48.0
2006,The Pursuit of Happyness,64.0
2006,Scary Movie 4,
2006,Failure to Launch,47.0
2006,Inside Man,76.0
2006,Open Season,44.0
2006,The Santa Clause 3: The Escape Clause,57.0
2006,The Pink Panther,55.0
2006,Eight Below,64.0
2005,Star Wars Ep. III: Revenge of the Sith,
2005,Harry Potter and the Goblet of Fire,81.0
2005,War of the Worlds,73.0
2005,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,75.0
2005,Wedding Crashers,64.0
2005,Charlie and the Chocolate Factory,72.0
2005,Batman Begins,70.0
2005,Madagascar,60.0
2005,Mr. and Mrs. Smith,55.0
2005,Hitch,63.0
2005,King Kong,62.0
2005,The Longest Yard,48.0
2005,Fantastic Four,
2005,Chicken Little,48.0
2005,Robots,64.0
2005,Meet the Fockers,41.0
2005,The Pacifier,30.0
2005,The 40 Year-old Virgin,
2005,Million Dollar Baby,
2005,Walk the Line,
2005,Flightplan,53.0
2005,Saw II,48.0
2005,Monster-in-Law,31.0
2005,Are We There Yet?,
2005,The Dukes of Hazzard,33.0
2004,Shrek 2,
2004,Spider-Man 2,
2004,The Passion of the Christ,47.0
2004,The Incredibles,80.0
2004,Harry Potter and the Prisoner of Azkaban,82.0
2004,The Day After Tomorrow,47.0
2004,The Bourne Supremacy,73.0
2004,Meet the Fockers,41.0
2004,Shark Tale,48.0
2004,The Polar Express,61.0
2004,National Treasure,98.0
2004,I Robot,59.0
2004,Troy,56.0
2004,50 First Dates,48.0
2004,Van Helsing,35.0
2004,Fahrenheit 9/11,
2004,Dodgeball: A True Underdog Story,
2004,The Village,44.0
2004,The Grudge,48.0
2004,Oceans Twelve,58.0
2004,Collateral,23.0
2004,The Princess Diaries 2: Royal Engagement,43.0
2004,Lemony Snickets A Series of Unfortunate Events,
2004,Starsky & Hutch,55.0
2004,Along Came Polly,44.0
2003,Finding Nemo,90.0
2003,Pirates of the Caribbean: The Curse of the Black Pearl,63.0
2003,The Lord of the Rings: The Return of the King,
2003,The Matrix Reloaded,62.0
2003,Bruce Almighty,46.0
2003,X-Men 2,
2003,Elf,64.0
2003,Chicago,
2003,Terminator 3: Rise of the Machines,66.0
2003,Bad Boys II,
2003,The Matrix Revolutions,47.0
2003,Anger Management,52.0
2003,Bringing Down the House,
2003,Hulk,61.0
2003,2 Fast 2 Furious,58.0
2003,Seabiscuit,72.0
2003,S.W.A.T.,45.0
2003,Spy Kids 3-D: Game Over,57.0
2003,Freaky Friday,70.0
2003,Scary Movie 3,
2003,The Italian Job,68.0
2003,How to Lose a Guy in 10 Days,45.0
2003,American Wedding,81.0
2003,Daddy Day Care,39.0
2003,Daredevil,42.0
2002,Spider-Man,73.0
2002,Star Wars Ep. II: Attack of the Clones,
2002,The Lord of the Rings: The Two Towers,87.0
2002,Harry Potter and the Chamber of Secrets,63.0
2002,My Big Fat Greek Wedding,
2002,Signs,59.0
2002,Austin Powers in Goldmember,62.0
2002,Men in Black 2,
2002,Ice Age,34.0
2002,Die Another Day,56.0
2002,Scooby-Doo,35.0
2002,Lilo & Stitch,73.0
2002,xXx,42.0
2002,The Santa Clause 2,
2002,A Beautiful Mind,72.0
2002,Minority Report,80.0
2002,The Ring,71.0
2002,Mr. Deeds,24.0
2002,Sweet Home Alabama,45.0
2002,The Bourne Identity,68.0
2002,The Sum of All Fears,45.0
2002,8 Mile,77.0
2002,Black Hawk Down,74.0
2002,The Lord of the Rings: The Fellowship of the Ring,92.0
2002,Road to Perdition,72.0
2001,Harry Potter and the Sorcerers Stone,65.0
2001,Shrek,84.0
2001,Monsters Inc.,
2001,Rush Hour 2,
2001,The Lord of the Rings: The Fellowship of the Ring,92.0
2001,The Mummy Returns,48.0
2001,Pearl Harbor,44.0
2001,Jurassic Park III,42.0
2001,Planet of the Apes,82.0
2001,Hannibal,57.0
2001,Oceans Eleven,74.0
2001,American Pie 2,
2001,The Fast and the Furious,58.0
2001,Lara Croft: Tomb Raider,33.0
2001,Cast Away,73.0
2001,Traffic,86.0
2001,Crouching Tiger Hidden Dragon,94.0
2001,Dr. Dolittle 2,
2001,Spy Kids,
2001,The Princess Diaries,52.0
2001,The Others,74.0
2001,Legally Blonde,59.0
2001,Americas Sweethearts,44.0
2001,Cats & Dogs,47.0
2001,Save the Last Dance,53.0
2000,How the Grinch Stole Christmas,46.0
2000,Mission: Impossible 2,
2000,Gladiator,67.0
2000,The Perfect Storm,59.0
2000,Meet the Parents,73.0
2000,X-Men,51.0
2000,Scary Movie,
2000,What Lies Beneath,51.0
2000,Dinosaur,66.0
2000,Erin Brockovich,73.0
2000,Nutty Professor II: The Klumps,38.0
2000,Charlies Angels,52.0
2000,Big Mommas House,
2000,What Women Want,47.0
2000,Remember the Titans,48.0
2000,The Patriot,69.0
2000,Cast Away,73.0
2000,Chicken Run,
2000,Gone in 60 Seconds,35.0
2000,Me Myself & Irene,49.0
2000,Space Cowboys,50.0
2000,Unbreakable,62.0
2000,Scream 3,
2000,U-571,62.0
2000,Hollow Man,24.0
1999,Star Wars Ep. I: The Phantom Menace,
1999,The Sixth Sense,64.0
1999,Toy Story 2,
1999,Austin Powers: The Spy Who Shagged Me,59.0
1999,The Matrix,73.0
1999,Tarzan,44.0
1999,Big Daddy,30.0
1999,The Mummy,34.0
1999,Runaway Bride,77.0
1999,The Blair Witch Project,
1999,The World is Not Enough,57.0
1999,Notting Hill,68.0
1999,Double Jeopardy,40.0
1999,Wild Wild West,81.0
1999,Analyze This,
1999,The Generals Daughter,47.0
1999,American Pie,65.0
1999,Inspector Gadget,36.0
1999,Sleepy Hollow,65.0
1999,The Haunting,33.0
1999,Shakespeare in Love,87.0
1999,Entrapment,54.0
1999,Pokemon: The First Movie,
1999,Payback,46.0
1999,Stuart Little,61.0
1998,Titanic,75.0
1998,Armageddon,42.0
1998,Saving Private Ryan,91.0
1998,Theres Something About Mary,69.0
1998,The Waterboy,41.0
1998,Doctor Dolittle,34.0
1998,Deep Impact,40.0
1998,Rush Hour,60.0
1998,A Bugs Life,
1998,Godzilla,62.0
1998,Good Will Hunting,70.0
1998,Lethal Weapon 4,
1998,The Truman Show,
1998,Mulan,66.0
1998,As Good as it Gets,67.0
1998,Enemy of the State,37.0
1998,The Mask of Zorro,63.0
1998,Antz,72.0
1998,The Rugrats Movie,
1998,The X Files: Fight the Future,
1998,The Wedding Singer,59.0
1998,City of Angels,78.0
1998,You've Got Mail,57.0
1998,The Horse Whisperer,65.0
1998,Six Days Seven Nights,51.0
1997,Men in Black,
1997,The Lost World: Jurassic Park,
1997,Liar Liar,76.0
1997,Air Force One,
1997,Titanic,75.0
1997,Star Wars Ep. IV: A New Hope,
1997,My Best Friends Wedding,
1997,Face/Off,
1997,Batman & Robin,28.0
1997,George Of The Jungle,53.0
1997,Con Air,52.0
1997,Contact,62.0
1997,Hercules,74.0
1997,Tomorrow Never Dies,52.0
1997,Scream 2,
1997,Flubber,37.0
1997,Conspiracy Theory,49.0
1997,Jerry Maguire,77.0
1997,I Know What You Did Last Summer,52.0
1997,Star Wars Ep. V: The Empire Strikes Back,
1997,Dantes Peak,43.0
1997,Anaconda,37.0
1997,Scream,65.0
1997,The Fifth Element,52.0
1997,In & Out,85.0
1996,Independence Day,32.0
1996,Twister,68.0
1996,Mission: Impossible,86.0
1996,The Rock,73.0
1996,Ransom,60.0
1996,The Nutty Professor,62.0
1996,The Birdcage,72.0
1996,101 Dalmatians,49.0
1996,A Time to Kill,74.0
1996,The First Wives Club,58.0
1996,Phenomenon,41.0
1996,Eraser,87.0
1996,The Hunchback of Notre Dame,74.0
1996,Star Trek: First Contact,62.0
1996,Space Jam,59.0
1996,Jerry Maguire,77.0
1996,Mr. Hollands Opus,59.0
1996,Broken Arrow,61.0
1996,The Cable Guy,70.0
1996,Courage Under Fire,77.0
1996,Jack,81.0
1996,Jingle All the Way,34.0
1996,12 Monkeys,74.0
1996,Executive Decision,62.0
1996,Primal Fear,
1995,Batman Forever,51.0
1995,Apollo 13,83.0
1995,Toy Story,
1995,Pocahontas,58.0
1995,Ace Ventura: When Nature Calls,45.0
1995,Casper,49.0
1995,Die Hard: With a Vengeance,58.0
1995,Goldeneye,65.0
1995,Crimson Tide,66.0
1995,Waterworld,56.0
1995,Se7en,
1995,Dangerous Minds,47.0
1995,While You Were Sleeping,67.0
1995,Congo,75.0
1995,Mortal Kombat,60.0
1995,The Bridges of Madison County,69.0
1995,Nine Months,97.0
1995,Get Shorty,82.0
1995,Outbreak,64.0
1995,Braveheart,68.0
1995,Legends of the Fall,
1995,Bad Boys,59.0
1995,The Living Sea,58.0
1995,Dumb & Dumber,41.0
1995,Species,19.0
1994,The Lion King,
1994,Forrest Gump,82.0
1994,True Lies,57.0
1994,The Santa Clause,57.0
1994,The Flintstones,38.0
1994,Clear and Present Danger,74.0
1994,Speed,40.0
1994,The Mask,56.0
1994,Maverick,
1994,Interview with the Vampire,59.0
1994,Mrs. Doubtfire,53.0
1994,The Client,65.0
1994,Schindlers List,94.0
1994,Philadelphia,66.0
1994,Ace Ventura: Pet Detective,37.0
1994,Star Trek: Generations,47.0
1994,Stargate,42.0
1994,Dumb & Dumber,41.0
1994,Wolf,75.0
1994,Pulp Fiction,94.0
1994,The Specialist,75.0
1994,Four Weddings and a Funeral,81.0
1994,The Little Rascals,45.0
1994,Disclosure,58.0
1994,Naked Gun 33 1/3: The Final Insult,
1993,Jurassic Park,
1993,The Fugitive,87.0
1993,The Firm,58.0
1993,Sleepless in Seattle,72.0
1993,Mrs. Doubtfire,53.0
1993,Indecent Proposal,35.0
1993,In the Line of Fire,95.0
1993,Aladdin,86.0
1993,Cliffhanger,60.0
1993,Free Willy,79.0
1993,The Pelican Brief,50.0
1993,Groundhog Day,72.0
1993,A Few Good Men,62.0
1993,Dave,
1993,Rising Sun,
1993,Cool Runnings,60.0
1993,The Crying Game,
1993,Scent of a Woman,59.0
1993,Rookie of the Year,53.0
1993,The Three Musketeers,35.0
1993,Dennis the Menace,49.0
1993,Demolition Man,34.0
1993,Sommersby,
1993,Last Action Hero,44.0
1993,Sister Act 2 Back in the Habit,38.0
1992,Batman Returns,68.0
1992,Home Alone 2: Lost in New York,
1992,Lethal Weapon 3,
1992,Sister Act,51.0
1992,Aladdin,86.0
1992,Waynes World,
1992,Basic Instinct,41.0
1992,A League of Their Own,
1992,The Bodyguard,47.0
1992,The Hand That Rocks the Cradle,64.0
1992,Patriot Games,
1992,Bram Stokers Dracula,
1992,Under Siege,16.0
1992,Fried Green Tomatoes,64.0
1992,A Few Good Men,62.0
1992,White Men Can't Jump,
1992,The Last of the Mohicans,76.0
1992,Unforgiven,85.0
1992,Boomerang,
1992,Far and Away,49.0
1992,Honey I Blew Up the Kid,
1992,HouseSitter,52.0
1992,Death Becomes Her,56.0
1992,Unlawful Entry,61.0
1992,Beethoven,59.0
1991,Terminator 2: Judgment Day,75.0
1991,Robin Hood: Prince of Thieves,51.0
1991,The Silence of the Lambs,85.0
1991,City Slickers,70.0
1991,The Addams Family,
1991,Home Alone,80.0
1991,Dances with Wolves,72.0
1991,Sleeping with the Enemy,
1991,Hook,
1991,The Naked Gun 2: The Smell of Fear,
1991,Beauty and the Beast,65.0
1991,Cape Fear,
1991,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,45.0
1991,Backdraft,38.0
1991,Star Trek VI: The Undiscovered Country,
1991,Hot Shots!,61.0
1991,Antarctica,61.0
1991,What About Bob?,
1991,My Girl,50.0
1991,Father of the Bride,51.0
1991,Boyz n the Hood,76.0
1991,Doc Hollywood,56.0
1991,The Last Boy Scout,52.0
1991,Awakenings,74.0
1991,New Jack City,
1990,Ghost,71.0
1990,Pretty Woman,51.0
1990,Home Alone,80.0
1990,Teenage Mutant Ninja Turtles,40.0
1990,The Hunt for Red October,58.0
1990,Total Recall,43.0
1990,Die Hard 2,
1990,Dick Tracy,68.0
1990,Driving Miss Daisy,81.0
1990,Back to the Future Part III,55.0
1990,Presumed Innocent,72.0
1990,Days of Thunder,60.0
1990,Dances with Wolves,72.0
1990,Another 48 Hrs.,23.0
1990,Bird on a Wire,36.0
1990,Born on the Fourth of July,75.0
1990,Flatliners,27.0
1990,3 Men and a Little Lady,51.0
1990,Problem Child,27.0
1990,Arachnophobia,67.0
1990,Kindergarten Cop,61.0
1990,Hard To Kill,57.0
1990,RoboCop 2,
1990,Misery,75.0
1990,Edward Scissorhands,74.0
1989,Batman,44.0
1989,Indiana Jones and the Last Crusade,65.0
1989,Lethal Weapon 2,
1989,Honey I Shrunk the Kids,
1989,Rain Man,65.0
1989,Look Whos Talking,51.0
1989,Ghostbusters II,
1989,Back to the Future Part II,55.0
1989,Parenthood,82.0
1989,Dead Poets Society,79.0
1989,When Harry Met Sally...,76.0
1989,Turner & Hooch,36.0
1989,Uncle Buck,51.0
1989,Field of Dreams,57.0
1989,Sea of Love,66.0
1989,National Lampoons Christmas Vacation,49.0
1989,Pet Sematary,38.0
1989,Harlem Nights,16.0
1989,Beaches,86.0
1989,The Abyss,62.0
1989,To the Limit,59.0
1989,Star Trek V: The Final Frontier,43.0
1989,The Little Mermaid,88.0
1989,Steel Magnolias,56.0
1989,Major League,
1988,Who Framed Roger Rabbit?,
1988,Coming to America,
1988,Good Morning Vietnam,67.0
1988,Big,74.0
1988,Crocodile Dundee 2,
1988,3 Men and a Baby,
1988,Cocktail,12.0
1988,Moonstruck,83.0
1988,Die Hard,65.0
1988,Beetlejuice,70.0
1988,Twins,74.0
1988,A Fish Called Wanda,80.0
1988,Willow,47.0
1988,The Naked Gun: From the Files of Police Squad!,76.0
1988,Scrooged,38.0
1988,Rambo III,36.0
1988,Bull Durham,73.0
1988,A Nightmare on Elm Street 4: The Dream Master,56.0
1988,Rain Man,65.0
1988,Colors,
1988,Young Guns,55.0
1988,Biloxi Blues,61.0
1988,The Land Before Time,
1988,The Great Outdoors,24.0
1988,Oliver & Company,
1987,Beverly Hills Cop II,16.0
1987,Fatal Attraction,67.0
1987,Platoon,92.0
1987,3 Men and a Baby,
1987,The Untouchables,79.0
1987,The Secret of My Success,
1987,Stakeout,69.0
1987,Lethal Weapon,68.0
1987,The Witches of Eastwick,67.0
1987,Predator,45.0
1987,Dragnet,62.0
1987,Dirty Dancing,65.0
1987,La Bamba,65.0
1987,RoboCop,67.0
1987,Outrageous Fortune,55.0
1987,The Living Daylights,59.0
1987,Snow White and the Seven Dwarfs,95.0
1987,Crocodile Dundee,62.0
1987,Full Metal Jacket,76.0
1987,A Nightmare On Elm Street 3: Dream Warriors,49.0
1987,Blind Date,51.0
1987,Roxanne,74.0
1987,Planes Trains & Automobiles,72.0
1987,Spaceballs,46.0
1987,Mannequin,21.0
1986,Top Gun,50.0
1986,Crocodile Dundee,62.0
1986,The Karate Kid Part II,36.0
1986,Back to School,82.0
1986,Aliens,84.0
1986,Star Trek IV: The Voyage Home,
1986,The Color Purple,78.0
1986,Ruthless People,
1986,Ferris Buellers Day Off,61.0
1986,Down and Out in Beverly Hills,82.0
1986,The Golden Child,37.0
1986,Out of Africa,69.0
1986,Legal Eagles,57.0
1986,Cobra,48.0
1986,Stand by Me,75.0
1986,The Color of Money,77.0
1986,Police Academy 3: Back in Training,33.0
1986,An American Tail,38.0
